HGT_prl,time,TMP_prl,TMP_2m,APCP_sfc,year,month,day,day_of_week,week_of_year,updated_lat,updated_lon
5856.0586,1990-01-01 00:00:00,291.37073,300.5962,0.2265625,1990,1,1,0,1,5.04,65.04
5855.0586,1990-01-01 06:00:00,290.87073,300.4712,0.0703125,1990,1,1,0,1,6.12,66.12
5854.0586,1990-01-01 12:00:00,290.99573,300.6587,0.0390625,1990,1,1,0,1,7.2,67.2
5856.0586,1990-01-01 18:00:00,290.74573,300.31494,0.140625,1990,1,1,0,1,8.280000000000001,68.28
5856.0586,1990-01-02 00:00:00,290.87073,300.50244,0.0078125,1990,1,2,1,1,9.36,69.36
5854.0586,1990-01-02 06:00:00,290.87073,300.5337,0.0078125,1990,1,2,1,1,10.44,70.44
5853.0586,1990-01-02 12:00:00,291.05823,300.3462,3.6608076e-26,1990,1,2,1,1,11.52,71.52
5852.0586,1990-01-02 18:00:00,291.02698,300.3462,0.0,1990,1,2,1,1,12.6,72.6
5852.0586,1990-01-03 00:00:00,291.4801,300.75244,0.0,1990,1,3,2,1,13.68,73.67999999999999
5853.0586,1990-01-03 06:00:00,291.12073,300.50244,0.0,1990,1,3,2,1,14.760000000000002,74.75999999999999
5851.0586,1990-01-03 12:00:00,290.94885,300.18994,0.12890625,1990,1,3,2,1,15.84,75.83999999999999
5850.0586,1990-01-03 18:00:00,290.74573,300.1587,0.62109375,1990,1,3,2,1,16.92,76.91999999999999
5850.5586,1990-01-04 00:00:00,290.76135,299.7212,0.33984375,1990,1,4,3,1,18.0,77.99999999999999
5851.0586,1990-01-04 06:00:00,291.1051,299.9087,0.0,1990,1,4,3,1,19.08,79.07999999999998
5852.0586,1990-01-04 12:00:00,291.24573,299.62744,0.0,1990,1,4,3,1,20.16,80.15999999999998
5853.0586,1990-01-04 18:00:00,290.9176,299.8462,0.0,1990,1,4,3,1,21.24,81.23999999999998
5853.0586,1990-01-05 00:00:00,290.26135,300.0962,0.0078125,1990,1,5,4,1,22.32,82.31999999999998
5853.0586,1990-01-05 06:00:00,290.24573,300.0962,0.078125,1990,1,5,4,1,23.4,83.39999999999998
5852.0586,1990-01-05 12:00:00,290.15198,300.4087,0.109375,1990,1,5,4,1,24.48,84.47999999999998
5850.0586,1990-01-05 18:00:00,290.27698,300.56494,0.0,1990,1,5,4,1,25.56,85.55999999999997
5848.0586,1990-01-06 00:00:00,290.1051,299.9712,1.6015625,1990,1,6,5,1,26.64,86.63999999999997
5846.5586,1990-01-06 06:00:00,290.26135,300.0337,6.703125,1990,1,6,5,1,27.72,87.71999999999997
5846.0586,1990-01-06 12:00:00,290.2926,300.31494,7.3867188,1990,1,6,5,1,28.8,88.79999999999997
5848.0586,1990-01-06 18:00:00,290.26135,300.12744,7.2304688,1990,1,6,5,1,29.880000000000003,89.87999999999997
5848.5586,1990-01-07 00:00:00,290.49573,300.18994,7.9609375,1990,1,7,6,1,30.96,90.95999999999997
5850.5586,1990-01-07 06:00:00,290.51135,300.0962,7.0820312,1990,1,7,6,1,32.04,92.03999999999996
5851.0586,1990-01-07 12:00:00,290.8551,300.1587,5.7851562,1990,1,7,6,1,33.120000000000005,93.11999999999996
5853.0586,1990-01-07 18:00:00,290.87073,300.62744,4.2890625,1990,1,7,6,1,34.2,94.19999999999996
5855.0586,1990-01-08 00:00:00,291.01135,299.75244,0.0,1990,1,8,0,2,35.28,95.27999999999996
5857.0586,1990-01-08 06:00:00,291.43323,287.81494,0.03125,1990,1,8,0,2,36.36,96.35999999999996
5855.0586,1990-01-08 12:00:00,290.83948,296.0962,0.16015625,1990,1,8,0,2,37.440000000000005,97.43999999999996
5854.0586,1990-01-08 18:00:00,290.33948,299.75244,0.1796875,1990,1,8,0,2,38.52,98.51999999999995
5854.0586,1990-01-09 00:00:00,291.12073,300.7837,0.1328125,1990,1,9,1,2,5.04,65.04
5854.5586,1990-01-09 06:00:00,290.96448,300.4087,0.0,1990,1,9,1,2,6.12,66.12
5856.0586,1990-01-09 12:00:00,290.80823,300.4087,0.046875,1990,1,9,1,2,7.2,67.2
5855.0586,1990-01-09 18:00:00,291.12073,300.8462,0.1015625,1990,1,9,1,2,8.280000000000001,68.28
5855.0586,1990-01-10 00:00:00,291.12073,300.81494,0.15625,1990,1,10,2,2,9.36,69.36
5855.0586,1990-01-10 06:00:00,291.12073,300.56494,0.0,1990,1,10,2,2,10.44,70.44
5854.0586,1990-01-10 12:00:00,291.08948,300.50244,0.0,1990,1,10,2,2,11.52,71.52
5853.0586,1990-01-10 18:00:00,291.55823,300.43994,0.0,1990,1,10,2,2,12.6,72.6
5854.0586,1990-01-11 00:00:00,291.55823,300.6587,0.0,1990,1,11,3,2,13.68,73.67999999999999
5852.0586,1990-01-11 06:00:00,290.58948,300.43994,0.03125,1990,1,11,3,2,14.760000000000002,74.75999999999999
5851.0586,1990-01-11 12:00:00,290.63635,300.12744,0.015625,1990,1,11,3,2,15.84,75.83999999999999
5850.0586,1990-01-11 18:00:00,290.38635,300.2212,0.109375,1990,1,11,3,2,16.92,76.91999999999999
5851.0586,1990-01-12 00:00:00,290.62073,300.06494,0.0,1990,1,12,4,2,18.0,77.99999999999999
5852.0586,1990-01-12 06:00:00,291.18323,299.6587,0.0,1990,1,12,4,2,19.08,79.07999999999998
5852.5586,1990-01-12 12:00:00,291.24573,299.6587,0.05078125,1990,1,12,4,2,20.16,80.15999999999998
5853.0586,1990-01-12 18:00:00,291.43323,298.68994,0.0,1990,1,12,4,2,21.24,81.23999999999998
5854.0586,1990-01-13 00:00:00,289.62073,299.43994,0.0078125,1990,1,13,5,2,22.32,82.31999999999998
5852.0586,1990-01-13 06:00:00,289.8551,299.81494,0.00390625,1990,1,13,5,2,23.4,83.39999999999998
5852.0586,1990-01-13 12:00:00,290.24573,299.9087,0.0078125,1990,1,13,5,2,24.48,84.47999999999998
5851.0586,1990-01-13 18:00:00,291.62073,300.1587,0.0,1990,1,13,5,2,25.56,85.55999999999997
5849.0586,1990-01-14 00:00:00,290.7926,300.43994,0.0,1990,1,14,6,2,26.64,86.63999999999997
5849.0586,1990-01-14 06:00:00,289.99573,299.9712,0.16796875,1990,1,14,6,2,27.72,87.71999999999997
5849.0586,1990-01-14 12:00:00,290.21448,300.00244,7.875,1990,1,14,6,2,28.8,88.79999999999997
5850.0586,1990-01-14 18:00:00,290.15198,300.12744,9.160156,1990,1,14,6,2,29.880000000000003,89.87999999999997
5851.0586,1990-01-15 00:00:00,290.4801,300.2837,10.074219,1990,1,15,0,3,30.96,90.95999999999997
5851.0586,1990-01-15 06:00:00,290.62073,300.06494,6.7695312,1990,1,15,0,3,32.04,92.03999999999996
5852.0586,1990-01-15 12:00:00,290.87073,300.4087,5.7148438,1990,1,15,0,3,33.120000000000005,93.11999999999996
5853.0586,1990-01-15 18:00:00,290.99573,300.06494,3.8476562,1990,1,15,0,3,34.2,94.19999999999996
5854.5586,1990-01-16 00:00:00,291.01135,299.9087,0.234375,1990,1,16,1,3,35.28,95.27999999999996
5855.5586,1990-01-16 06:00:00,290.82385,299.93994,5.6757812,1990,1,16,1,3,36.36,96.35999999999996
5853.0586,1990-01-16 12:00:00,290.74573,299.93994,0.73828125,1990,1,16,1,3,37.440000000000005,97.43999999999996
5853.5586,1990-01-16 18:00:00,290.74573,299.9712,0.55859375,1990,1,16,1,3,38.52,98.51999999999995
5854.0586,1990-01-17 00:00:00,290.88635,300.4712,0.0625,1990,1,17,2,3,5.04,65.04
5854.0586,1990-01-17 06:00:00,290.99573,300.5962,0.40625,1990,1,17,2,3,6.12,66.12
5855.0586,1990-01-17 12:00:00,291.18323,300.6587,0.0,1990,1,17,2,3,7.2,67.2
5855.0586,1990-01-17 18:00:00,291.12073,300.9087,0.0,1990,1,17,2,3,8.280000000000001,68.28
5855.0586,1990-01-18 00:00:00,291.33948,301.00244,0.015625,1990,1,18,3,3,9.36,69.36
