HGT_prl,time,lat,lon,TMP_prl,TMP_2m,APCP_sfc
5856.0586,631152000.0,5.04,65.04,291.37073,300.5962,0.2265625
5855.0586,631173600.0,6.12,66.12,290.87073,300.4712,0.0703125
5854.0586,631195200.0,7.2,67.2,290.99573,300.6587,0.0390625
5856.0586,631216800.0,8.280000000000001,68.28,290.74573,300.31494,0.140625
5856.0586,631238400.0,9.36,69.36,290.87073,300.50244,0.0078125
5854.0586,631260000.0,10.44,70.44,290.87073,300.5337,0.0078125
5853.0586,631281600.0,11.52,71.52,291.05823,300.3462,3.6608076e-26
5852.0586,631303200.0,12.6,72.6,291.02698,300.3462,0.0
5852.0586,631324800.0,13.68,73.67999999999999,291.4801,300.75244,0.0
5853.0586,631346400.0,14.760000000000002,74.75999999999999,291.12073,300.50244,0.0
5851.0586,631368000.0,15.84,75.83999999999999,290.94885,300.18994,0.12890625
5850.0586,631389600.0,16.92,76.91999999999999,290.74573,300.1587,0.62109375
5850.5586,631411200.0,18.0,77.99999999999999,290.76135,299.7212,0.33984375
5851.0586,631432800.0,19.08,79.07999999999998,291.1051,299.9087,0.0
5852.0586,631454400.0,20.16,80.15999999999998,291.24573,299.62744,0.0
5853.0586,631476000.0,21.24,81.23999999999998,290.9176,299.8462,0.0
5853.0586,631497600.0,22.32,82.31999999999998,290.26135,300.0962,0.0078125
5853.0586,631519200.0,23.4,83.39999999999998,290.24573,300.0962,0.078125
5852.0586,631540800.0,24.48,84.47999999999998,290.15198,300.4087,0.109375
5850.0586,631562400.0,25.56,85.55999999999997,290.27698,300.56494,0.0
5848.0586,631584000.0,26.64,86.63999999999997,290.1051,299.9712,1.6015625
5846.5586,631605600.0,27.72,87.71999999999997,290.26135,300.0337,6.703125
5846.0586,631627200.0,28.8,88.79999999999997,290.2926,300.31494,7.3867188
5848.0586,631648800.0,29.880000000000003,89.87999999999997,290.26135,300.12744,7.2304688
5848.5586,631670400.0,30.96,90.95999999999997,290.49573,300.18994,7.9609375
5850.5586,631692000.0,32.04,92.03999999999996,290.51135,300.0962,7.0820312
5851.0586,631713600.0,33.120000000000005,93.11999999999996,290.8551,300.1587,5.7851562
5853.0586,631735200.0,34.2,94.19999999999996,290.87073,300.62744,4.2890625
5855.0586,631756800.0,35.28,95.27999999999996,291.01135,299.75244,0.0
5857.0586,631778400.0,36.36,96.35999999999996,291.43323,287.81494,0.03125
5855.0586,631800000.0,37.440000000000005,97.43999999999996,290.83948,296.0962,0.16015625
5854.0586,631821600.0,38.52,98.51999999999995,290.33948,299.75244,0.1796875
5854.0586,631843200.0,,,291.12073,300.7837,0.1328125
5854.5586,631864800.0,,,290.96448,300.4087,0.0
5856.0586,631886400.0,,,290.80823,300.4087,0.046875
5855.0586,631908000.0,,,291.12073,300.8462,0.1015625
5855.0586,631929600.0,,,291.12073,300.81494,0.15625
5855.0586,631951200.0,,,291.12073,300.56494,0.0
5854.0586,631972800.0,,,291.08948,300.50244,0.0
5853.0586,631994400.0,,,291.55823,300.43994,0.0
5854.0586,632016000.0,,,291.55823,300.6587,0.0
5852.0586,632037600.0,,,290.58948,300.43994,0.03125
5851.0586,632059200.0,,,290.63635,300.12744,0.015625
5850.0586,632080800.0,,,290.38635,300.2212,0.109375
5851.0586,632102400.0,,,290.62073,300.06494,0.0
5852.0586,632124000.0,,,291.18323,299.6587,0.0
5852.5586,632145600.0,,,291.24573,299.6587,0.05078125
5853.0586,632167200.0,,,291.43323,298.68994,0.0
5854.0586,632188800.0,,,289.62073,299.43994,0.0078125
5852.0586,632210400.0,,,289.8551,299.81494,0.00390625
5852.0586,632232000.0,,,290.24573,299.9087,0.0078125
5851.0586,632253600.0,,,291.62073,300.1587,0.0
5849.0586,632275200.0,,,290.7926,300.43994,0.0
5849.0586,632296800.0,,,289.99573,299.9712,0.16796875
5849.0586,632318400.0,,,290.21448,300.00244,7.875
5850.0586,632340000.0,,,290.15198,300.12744,9.160156
5851.0586,632361600.0,,,290.4801,300.2837,10.074219
5851.0586,632383200.0,,,290.62073,300.06494,6.7695312
5852.0586,632404800.0,,,290.87073,300.4087,5.7148438
5853.0586,632426400.0,,,290.99573,300.06494,3.8476562
5854.5586,632448000.0,,,291.01135,299.9087,0.234375
5855.5586,632469600.0,,,290.82385,299.93994,5.6757812
5853.0586,632491200.0,,,290.74573,299.93994,0.73828125
5853.5586,632512800.0,,,290.74573,299.9712,0.55859375
5854.0586,632534400.0,,,290.88635,300.4712,0.0625
5854.0586,632556000.0,,,290.99573,300.5962,0.40625
5855.0586,632577600.0,,,291.18323,300.6587,0.0
5855.0586,632599200.0,,,291.12073,300.9087,0.0
5855.0586,632620800.0,,,291.33948,301.00244,0.015625
5854.0586,632642400.0,,,291.49573,300.6587,0.0
5854.0586,632664000.0,,,291.51135,300.50244,0.22265625
5853.0586,632685600.0,,,291.5426,300.50244,0.0625
5854.0586,632707200.0,,,290.7301,300.7212,0.1328125
5854.0586,632728800.0,,,290.2926,300.3462,0.1171875
5852.0586,632750400.0,,,290.01135,300.2837,0.03515625
5852.0586,632772000.0,,,290.3551,299.75244,3.1225023e-17
5851.0586,632793600.0,,,290.49573,299.4087,0.00390625
5853.0586,632815200.0,,,291.55823,298.8462,0.0
5851.5586,632836800.0,,,291.8551,294.4087,0.0
5851.5586,632858400.0,,,290.93323,292.4712,0.0
5853.0586,632880000.0,,,290.15198,299.12744,0.0078125
5853.0586,632901600.0,,,289.96448,299.62744,0.0
5853.0586,632923200.0,,,288.63635,299.37744,0.0
5852.0586,632944800.0,,,292.6051,299.9087,0.0
5851.5586,632966400.0,,,292.63635,299.8462,0.00390625
5851.0586,632988000.0,,,290.88635,300.25244,0.0
5852.0586,633009600.0,,,289.38635,300.06494,0.015625
5851.0586,633031200.0,,,290.0426,300.06494,0.328125
5853.0586,633052800.0,,,290.2301,300.18994,0.05078125
5853.5586,633074400.0,,,290.24573,300.4087,5.8789062
5853.0586,633096000.0,,,290.40198,299.93994,6.4023438
5854.0586,633117600.0,,,290.57385,300.06494,4.6679688
5855.0586,633139200.0,,,290.57385,300.3462,4.421875
5856.0586,633160800.0,,,290.74573,300.12744,3.2421875
5855.0586,633182400.0,,,290.8551,299.93994,0.3203125
5855.0586,633204000.0,,,290.9176,300.5962,0.0
5853.0586,633225600.0,,,290.99573,300.4712,0.0
5853.5586,633247200.0,,,291.18323,300.50244,0.00390625
5854.0586,633268800.0,,,290.9801,300.5337,0.0234375
5855.0586,633290400.0,,,291.5426,301.0962,0.0
5854.0586,633312000.0,,,291.24573,301.0337,0.0
5854.0586,633333600.0,,,291.71448,300.5962,0.0
5853.0586,633355200.0,,,291.49573,300.9087,0.296875
5853.0586,633376800.0,,,291.38635,300.7837,0.8125
5854.0586,633398400.0,,,290.80823,300.50244,0.9765625
5854.0586,633420000.0,,,290.19885,300.0962,0.2265625
5853.0586,633441600.0,,,290.12073,299.75244,0.14453125
5853.0586,633463200.0,,,290.69885,299.62744,0.0
5852.0586,633484800.0,,,289.44885,297.7837,0.30859375
5854.0586,633506400.0,,,288.74573,298.68994,0.04296875
5853.0586,633528000.0,,,291.24573,295.6587,0.16015625
5854.0586,633549600.0,,,288.93323,295.12744,0.30859375
5854.0586,633571200.0,,,288.24573,299.06494,0.0390625
5853.0586,633592800.0,,,289.96448,299.50244,0.0
5852.0586,633614400.0,,,288.80823,299.4087,0.0
5853.0586,633636000.0,,,291.7926,299.31494,0.0078125
5853.0586,633657600.0,,,293.21448,299.8462,0.0
5854.0586,633679200.0,,,293.01135,300.0337,0.0
5854.5586,633700800.0,,,290.2301,299.87744,0.0
5854.0586,633722400.0,,,290.38635,299.9712,0.0
5854.0586,633744000.0,,,290.1051,299.9712,0.03125
5854.0586,633765600.0,,,289.33948,300.1587,0.078125
5854.0586,633787200.0,,,290.27698,299.9087,2.4492188
5854.0586,633808800.0,,,290.49573,300.25244,0.6328125
5857.0586,633830400.0,,,290.62073,299.9712,1.2617188
5858.0586,633852000.0,,,290.80823,299.87744,3.5898438
5858.0586,633873600.0,,,290.6676,299.9712,0.1640625
5859.0586,633895200.0,,,291.49573,299.0962,0.0
5853.0586,633916800.0,,,290.74573,300.37744,0.07421875
5853.0586,633938400.0,,,290.90198,300.43994,0.140625
5854.0586,633960000.0,,,291.52698,300.50244,0.00390625
5854.0586,633981600.0,,,291.99573,300.6587,0.01953125
5853.0586,634003200.0,,,291.62073,300.68994,0.03125
5852.0586,634024800.0,,,291.87073,300.6587,0.078125
5853.0586,634046400.0,,,291.87073,300.5337,0.0625
5853.0586,634068000.0,,,291.88635,300.68994,2.415559e-14
5853.0586,634089600.0,,,291.0426,300.68994,0.9609375
5853.0586,634111200.0,,,290.21448,300.31494,1.28125
5853.0586,634132800.0,,,289.5426,299.93994,0.14453125
5853.0586,634154400.0,,,289.99573,296.4712,0.0
5853.0586,634176000.0,,,289.63635,296.4712,0.0
5854.0586,634197600.0,,,288.37073,298.6587,0.30859375
5854.0586,634219200.0,,,288.30823,294.87744,0.0546875
5853.5586,634240800.0,,,288.99573,298.68994,0.1796875
5855.0586,634262400.0,,,288.3551,299.25244,2.977913e-14
5856.0586,634284000.0,,,287.90198,299.37744,0.0
5856.0586,634305600.0,,,287.69885,299.50244,0.0
5854.0586,634327200.0,,,289.02698,299.5337,0.00390625
5854.0586,634348800.0,,,289.90198,299.56494,0.0078125
5855.0586,634370400.0,,,292.8551,299.37744,0.0625
5856.0586,634392000.0,,,293.15198,299.75244,0.0
5856.0586,634413600.0,,,292.58948,299.93994,0.0
5856.0586,634435200.0,,,291.68323,299.93994,0.0
