,year,month,darwin,tahiti,TOTAL_nino,ClimAdjust_nino,ANOM_nino,CPOLR,soi
0,1991,1,-0.3,0.7,27.04,26.59,0.45,3.76,0.6
1,1991,2,-0.3,0.1,27.08,26.79,0.29,-0.64,0.3
2,1991,3,1.1,-0.1,27.33,27.28,0.05,3.24,-0.7
3,1991,4,0.0,-1.0,28.02,27.7,0.32,4.55,-0.6
4,1991,5,1.0,-0.7,28.2,27.8,0.4,4.2,-1.0
5,1991,6,0.3,0.1,28.25,27.6,0.65,1.04,-0.1
6,1991,7,-0.0,-0.0,28.05,27.19,0.86,-10.52,0.0
7,1991,8,0.6,-0.1,27.53,26.84,0.69,-13.13,-0.4
8,1991,9,1.0,-1.5,27.14,26.78,0.36,-3.78,-1.5
9,1991,10,0.3,-1.4,27.58,26.76,0.82,-9.96,-1.0
10,1991,11,1.1,-0.0,27.89,26.7,1.19,-34.14,-0.7
11,1991,12,1.0,-1.9,28.28,26.66,1.62,-37.31,-1.8
12,1992,1,3.1,-1.6,28.37,26.59,1.78,-46.49,-2.9
13,1992,2,0.8,-0.7,28.53,26.79,1.74,-36.12,-0.9
14,1992,3,2.0,-1.4,28.66,27.28,1.38,-43.01,-2.0
15,1992,4,1.0,-0.7,29.02,27.7,1.32,-33.22,-1.0
16,1992,5,-0.4,0.1,28.97,27.8,1.16,-27.31,0.3
17,1992,6,-0.4,-1.4,28.3,27.6,0.7,-14.22,-0.6
18,1992,7,1.3,0.3,27.51,27.19,0.33,-6.9,-0.6
19,1992,8,-0.5,0.1,26.91,26.84,0.07,1.18,0.4
20,1992,9,-0.9,-0.8,26.66,26.78,-0.13,3.55,0.1
21,1992,10,0.4,-1.9,26.42,26.76,-0.34,0.99,-1.4
22,1992,11,0.5,-0.6,26.42,26.7,-0.28,-6.47,-0.7
23,1992,12,-0.1,-1.0,26.45,26.66,-0.21,-14.62,-0.6
24,1993,1,0.1,-1.4,26.7,26.59,0.1,-5.41,-0.9
25,1993,2,-0.4,-1.6,27.17,26.79,0.38,-13.12,-0.7
26,1993,3,1.6,0.8,27.68,27.28,0.4,-8.95,-0.5
27,1993,4,1.4,-0.6,28.41,27.7,0.71,-22.22,-1.2
28,1993,5,0.8,0.3,28.71,27.8,0.91,-19.28,-0.3
29,1993,6,0.9,-0.5,28.08,27.6,0.48,-15.01,-0.8
30,1993,7,0.1,-1.3,27.52,27.19,0.33,-11.21,-0.8
31,1993,8,1.6,-0.0,26.99,26.84,0.15,-3.69,-0.9
32,1993,9,1.1,-0.1,27.07,26.78,0.29,-8.54,-0.7
33,1993,10,1.1,-0.7,26.78,26.76,0.02,-9.32,-1.1
34,1993,11,0.1,-0.0,26.71,26.7,0.01,2.06,-0.1
35,1993,12,-0.4,-0.0,26.76,26.66,0.1,-0.39,0.2
36,1994,1,0.0,-0.2,26.65,26.59,0.06,6.06,-0.1
37,1994,2,-0.3,0.1,26.82,26.79,0.03,11.8,0.3
38,1994,3,1.0,-0.1,27.39,27.28,0.11,10.31,-0.7
39,1994,4,0.8,-1.3,28.08,27.7,0.38,0.8,-1.3
40,1994,5,0.5,-0.6,28.24,27.8,0.43,7.52,-0.7
41,1994,6,-0.0,-0.8,28.04,27.6,0.44,4.58,-0.4
42,1994,7,0.6,-1.6,27.54,27.19,0.35,1.06,-1.3
43,1994,8,1.4,-0.6,27.38,26.84,0.54,-3.59,-1.2
44,1994,9,1.1,-1.5,27.19,26.78,0.41,-2.48,-1.6
45,1994,10,1.0,-0.9,27.47,26.76,0.71,-4.08,-1.1
46,1994,11,0.8,-0.1,27.81,26.7,1.11,-20.67,-0.6
47,1994,12,1.7,-0.3,27.85,26.66,1.19,-31.57,-1.2
48,1995,1,0.3,-0.4,27.57,26.59,0.98,-22.69,-0.4
49,1995,2,0.9,0.7,27.49,26.79,0.71,-3.82,-0.1
50,1995,3,-1.0,0.2,27.76,27.28,0.48,7.77,0.8
51,1995,4,-0.3,-1.4,28.11,27.7,0.41,10.72,-0.7
52,1995,5,0.1,-0.5,27.83,27.8,0.02,8.41,-0.4
53,1995,6,0.1,0.3,27.59,27.6,-0.01,11.75,0.1
54,1995,7,-0.7,0.1,27.08,27.19,-0.11,8.2,0.4
55,1995,8,-0.2,0.4,26.23,26.84,-0.61,11.09,0.3
