YR,MON,val
1969,1,-0.8
1969,2,-0.5
1969,3,-0.0
1969,4,0.9
1969,5,-0.4
1969,6,-0.2
1969,7,0.1
1969,8,0.0
1969,9,-0.4
1969,10,0.7
1969,11,0.2
1969,12,-0.4
1970,1,1.4
1970,2,0.3
1970,3,-1.0
1970,4,0.1
1970,5,-0.8
1970,6,-1.0
1970,7,0.3
1970,8,-1.3
1970,9,-1.9
1970,10,-1.9
1970,11,-1.3
1970,12,-2.0
1971,1,-0.8
1971,2,-2.1
1971,3,-2.1
1971,4,-1.7
1971,5,-1.0
1971,6,0.1
1971,7,-0.8
1971,8,-1.5
1971,9,-1.3
1971,10,-1.1
1971,11,-0.5
1971,12,-1.4
1972,1,-0.8
1972,2,-1.6
1972,3,-1.5
1972,4,0.6
1972,5,2.0
1972,6,-0.1
1972,7,0.3
1972,8,0.4
1972,9,1.3
1972,10,1.7
1972,11,0.8
1972,12,2.0
1973,1,0.6
1973,2,1.3
1973,3,-1.2
1973,4,-0.8
1973,5,-0.6
1973,6,-1.8
1973,7,-0.9
1973,8,-1.7
1973,9,-0.8
1973,10,-0.7
1973,11,-2.9
1973,12,-0.7
1974,1,-2.4
1974,2,-2.2
1974,3,-2.6
1974,4,-1.0
1974,5,-0.4
1974,6,-0.5
1974,7,-0.8
1974,8,-1.2
1974,9,-1.1
1974,10,-1.1
1974,11,-1.1
1974,12,-1.2
1975,1,-0.3
1975,2,0.1
1975,3,-1.6
1975,4,-1.9
1975,5,-1.0
1975,6,-1.4
1975,7,-1.6
1975,8,-1.9
1975,9,-1.7
1975,10,-1.7
1975,11,-0.8
1975,12,-1.7
1976,1,-1.4
1976,2,-1.3
1976,3,-2.5
1976,4,0.0
1976,5,0.5
1976,6,-0.3
1976,7,0.5
1976,8,0.7
1976,9,0.6
1976,10,-0.8
1976,11,-1.0
1976,12,-0.8
1977,1,-0.7
1977,2,-1.1
1977,3,-0.2
1977,4,-0.5
1977,5,-0.2
1977,6,0.5
1977,7,0.2
1977,8,0.2
1977,9,0.6
1977,10,1.4
1977,11,1.0
1977,12,0.6
1978,1,1.4
1978,2,1.9
1978,3,1.1
1978,4,0.2
1978,5,-2.0
1978,6,-1.7
1978,7,-1.9
1978,8,-1.3
1978,9,-0.6
1978,10,-0.1
1978,11,0.2
1978,12,0.0
1979,1,-0.6
1979,2,0.1
1979,3,-0.4
1979,4,-0.2
1979,5,-0.3
1979,6,-0.3
1979,7,-2.1
1979,8,-0.1
1979,9,-0.5
1979,10,0.2
1979,11,0.2
1979,12,1.0
1980,1,-0.7
1980,2,-0.5
1980,3,-1.0
1980,4,-0.2
1980,5,-0.2
1980,6,-0.4
1980,7,-0.2
1980,8,0.0
1980,9,0.4
1980,10,-0.1
1980,11,0.2
1980,12,-0.1
1981,1,-1.4
1981,2,-0.6
1981,3,1.4
1981,4,0.0
1981,5,-0.9
1981,6,-1.3
1981,7,-1.5
