time,latitude,longitude,UGRD_10m
631152000.0,5.04,65.04,-5.683823
631173600.0,6.12,66.12,-5.2306952
631195200.0,7.2,67.2,-5.011946
631216800.0,8.280000000000001,68.28,-5.1213207
631238400.0,9.36,69.36,-5.105695
631260000.0,10.44,70.44,-4.449444
631281600.0,11.52,71.52,-4.105694
631303200.0,12.6,72.6,-3.6213205
631324800.0,13.68,73.67999999999999,-4.7306957
631346400.0,14.760000000000002,74.75999999999999,-4.74632
631368000.0,15.84,75.83999999999999,-3.4963202
631389600.0,16.92,76.91999999999999,-2.2931938
631411200.0,18.0,77.99999999999999,-1.1838201
631432800.0,19.08,79.07999999999998,-0.51194465
631454400.0,20.16,80.15999999999998,-3.918189
631476000.0,21.24,81.23999999999998,-2.9963205
631497600.0,22.32,82.31999999999998,-1.9338193
631519200.0,23.4,83.39999999999998,-1.465071
631540800.0,24.48,84.47999999999998,-1.7306958
631562400.0,25.56,85.55999999999997,-1.0588193
631584000.0,26.64,86.63999999999997,-1.4025711
631605600.0,27.72,87.71999999999997,-2.0900707
631627200.0,28.8,88.79999999999997,-2.5900707
631648800.0,29.880000000000003,89.87999999999997,-2.965072
631670400.0,30.96,90.95999999999997,-4.449446
631692000.0,32.04,92.03999999999996,-5.24632
631713600.0,33.120000000000005,93.11999999999996,-5.371321
631735200.0,34.2,94.19999999999996,-4.26195
631756800.0,35.28,95.27999999999996,-1.793195
631778400.0,36.36,96.35999999999996,-0.43381655
631800000.0,37.440000000000005,97.43999999999996,-0.6681974
631821600.0,38.52,98.51999999999995,-0.7619509
631843200.0,,,-5.511945
631864800.0,,,-5.52757
631886400.0,,,-5.246319
631908000.0,,,-5.0900693
631929600.0,,,-5.199445
631951200.0,,,-4.4338193
631972800.0,,,-3.2463205
631994400.0,,,-2.5119457
632016000.0,,,-3.230694
632037600.0,,,-3.1525722
632059200.0,,,-4.933824
632080800.0,,,-5.308824
632102400.0,,,-4.5119457
632124000.0,,,-0.63694644
632145600.0,,,1.4880323
632167200.0,,,-2.6213124
632188800.0,,,-1.2306958
632210400.0,,,-1.793197
632232000.0,,,-1.8088197
632253600.0,,,-1.4494468
632275200.0,,,-1.5119463
632296800.0,,,-1.4181968
632318400.0,,,-2.9025705
632340000.0,,,-3.7150702
632361600.0,,,-4.1056957
632383200.0,,,-4.6994452
632404800.0,,,-5.8400693
632426400.0,,,-5.980695
632448000.0,,,-5.808819
632469600.0,,,-5.4963217
632491200.0,,,-5.402571
632512800.0,,,-4.496324
632534400.0,,,-5.324445
632556000.0,,,-5.6213202
632577600.0,,,-5.105693
632599200.0,,,-4.2931952
632620800.0,,,-4.49632
632642400.0,,,-4.2463183
632664000.0,,,-3.3400688
632685600.0,,,-2.6213193
632707200.0,,,-2.7775707
632728800.0,,,-1.8713192
632750400.0,,,-2.996316
632772000.0,,,-6.777569
632793600.0,,,-5.9963207
632815200.0,,,-5.496322
632836800.0,,,-1.0431982
632858400.0,,,0.6130547
632880000.0,,,-1.2306976
632901600.0,,,-1.9963211
632923200.0,,,-1.9025718
632944800.0,,,-2.6056976
