time,latitude,longitude,VGRD_10m
631152000.0,5.04,65.04,-2.3065927
631173600.0,6.12,66.12,-2.665968
631195200.0,7.2,67.2,-2.7753437
631216800.0,8.280000000000001,68.28,-2.7597182
631238400.0,9.36,69.36,-2.869093
631260000.0,10.44,70.44,-2.494093
631281600.0,11.52,71.52,-2.369093
631303200.0,12.6,72.6,-2.8690922
631324800.0,13.68,73.67999999999999,-2.8690927
631346400.0,14.760000000000002,74.75999999999999,-3.603469
631368000.0,15.84,75.83999999999999,-4.5878434
631389600.0,16.92,76.91999999999999,-4.2909684
631411200.0,18.0,77.99999999999999,-3.7284672
631432800.0,19.08,79.07999999999998,-1.5097158
631454400.0,20.16,80.15999999999998,-4.3065886
631476000.0,21.24,81.23999999999998,-8.25972
631497600.0,22.32,82.31999999999998,-8.103469
631519200.0,23.4,83.39999999999998,-8.259718
631540800.0,24.48,84.47999999999998,-7.869092
631562400.0,25.56,85.55999999999997,-7.6190925
631584000.0,26.64,86.63999999999997,-7.5878434
631605600.0,27.72,87.71999999999997,-6.1815934
631627200.0,28.8,88.79999999999997,-5.5253425
631648800.0,29.880000000000003,89.87999999999997,-5.275344
631670400.0,30.96,90.95999999999997,-4.7753434
631692000.0,32.04,92.03999999999996,-3.5097198
631713600.0,33.120000000000005,93.11999999999996,-3.4940944
631735200.0,34.2,94.19999999999996,-1.5878496
631756800.0,35.28,95.27999999999996,0.08402852
631778400.0,36.36,96.35999999999996,0.990287
631800000.0,37.440000000000005,97.43999999999996,0.70903224
631821600.0,38.52,98.51999999999995,0.9277806
631843200.0,,,-2.259718
631864800.0,,,-2.0565937
631886400.0,,,-2.6347187
631908000.0,,,-2.7128432
631929600.0,,,-2.7440925
631951200.0,,,-2.6190937
631972800.0,,,-3.119092
631994400.0,,,-2.853466
632016000.0,,,-2.494094
632037600.0,,,-3.2284672
632059200.0,,,-3.8222184
632080800.0,,,-5.7128468
632102400.0,,,-6.5565944
632124000.0,,,-4.1190934
632145600.0,,,-0.21285187
632167200.0,,,-7.5409565
632188800.0,,,-7.1347156
632210400.0,,,-7.056591
632232000.0,,,-6.806591
632253600.0,,,-7.0565925
632275200.0,,,-6.9940925
632296800.0,,,-7.6190915
632318400.0,,,-6.16597
632340000.0,,,-6.2128425
632361600.0,,,-5.4784713
632383200.0,,,-5.369094
632404800.0,,,-4.369095
632426400.0,,,-3.7128427
632448000.0,,,-1.2128441
632469600.0,,,-0.75971985
632491200.0,,,-0.91597086
632512800.0,,,-0.49409363
632534400.0,,,-1.6972187
632556000.0,,,-1.9159695
632577600.0,,,-2.0253448
632599200.0,,,-3.0565917
632620800.0,,,-2.5565953
632642400.0,,,-2.8690925
632664000.0,,,-3.0253422
632685600.0,,,-2.4472167
632707200.0,,,-1.8534719
